rank,surface,count,share,cum_share,tags
1,는,623298,0.09974322398402567,0.09974322398402567,ETM:348939|JX:274358|ETN:1
2,을,568782,0.09101930444840524,0.1907625284324309,JKO:529194|ETM:39587|JX:1
3,의,456394,0.07303442168427528,0.2637969501167062,JKG:456230|JKB:134|EC:30
4,에,413832,0.06622344026093026,0.3300203903776365,JKB:413771|JKG:31|EC:27|EF:3
5,이,342476,0.05480470076456715,0.3848250911422036,JKS:332407|JKC:10050|EC:8|EP:5|ETN:3|EF:2|JX:1
6,를,333576,0.05338047881381835,0.43820556995602195,JKO:333504|JX:58|EC+JKO:11|EF:3
7,은,330082,0.052821351679445724,0.4910269216354677,JX:231362|ETM:98719|ETN:1
8,다,287488,0.04600524945807555,0.5370321710935432,EF:257453|EC:29521|JX:514
9,고,274563,0.04393692713072405,0.5809690982242672,EC:267448|JKQ:7101|JC:14
10,가,225727,0.036121949244570274,0.6170910474688376,JKS:220605|JKC:4864|JX:250|EF:5|EC:3
11,으로,171631,0.027465240183030124,0.6445562876518677,JKB:171622|ETN+JKB:8|EC:1
12,에서,160417,0.025670720525086628,0.6702270081769542,JKB:160417
13,로,133615,0.021381732129135005,0.6916087403060893,JKB:133572|EC:39|EF:4
14,습니다,128963,0.020637296116226753,0.7122460364223161,EF:128449|EC:514
15,도,126648,0.020266838384093776,0.7325128748064098,JX:126186|EC:462
16,과,120819,0.019334053018822454,0.7518469278252323,JC:91736|JKB:29075|ETN+JKB:8
17,기,99701,0.015954646372090625,0.7678015741973229,ETN:99701
18,게,92180,0.014751098811238744,0.7825526730085617,EC:92107|JKB:71|EF:2
19,와,84355,0.0134989036691478,0.7960515766777094,JC:63855|JKB:20486|EC:14
20,지,75749,0.012121729050255192,0.8081733057279646,EC:74000|EF:1748|JX:1
21,었,70650,0.011305761889932927,0.8194790676178976,EP:70648|EF:1|EC:1
22,어,68729,0.010998353983484786,0.8304774216013824,EC:65860|EF:2859|EP:10
23,면,56428,0.009029887217623994,0.8395073088190064,EC:56425|JX:3
24,며,46618,0.007460042573034582,0.8469673513920409,EC:46610|JC:8
25,여,41436,0.0066307933428345475,0.8535981447348755,EC:41295|JKV:91|EF:44|JKS+EF:6
26,에게,35155,0.005625676705457779,0.8592238214403333,JKB:35155
27,만,33347,0.005336351617035999,0.8645601730573692,JX:33329|EP+EC:12|EF:6
28,까지,31601,0.005056948074787975,0.8696171211321573,JX:31601
