cond,k,variant,vocab,eval_set,fertility,m2a,m2b,m3,n_words,n_tokens,split_rate,m3_nonascii
P0,0,-,32000,hplt_heldout_100k,1.8212,0.1732,0.188,0.10635,1151963,2097988,0.0,0.00517
P1,0,-,32000,hplt_heldout_100k,2.2381,0.997,1.0,0.08694,1151963,2578161,0.68867,0.00248
P2,10,G,32000,hplt_heldout_100k,2.0137,0.7474,0.7526,0.09484,1151963,2319714,0.32356,0.00417
P2,30,G,32000,hplt_heldout_100k,2.083,0.9358,0.9395,0.09085,1151963,2399522,0.44803,0.00367
P2,100,G,32000,hplt_heldout_100k,2.1092,0.9941,0.9943,0.08954,1151963,2429741,0.4891,0.00354
P2,10,R,32000,hplt_heldout_100k,2.0076,0.752,0.7414,0.09519,1151963,2312639,0.27958,0.00426
P2,30,R,32000,hplt_heldout_100k,2.0945,0.9303,0.9155,0.09039,1151963,2412822,0.40999,0.0037
P2,100,R,32000,hplt_heldout_100k,2.1507,0.9765,0.9597,0.08767,1151963,2477487,0.47652,0.00347
P0,0,-,64000,hplt_heldout_100k,1.6788,0.1083,0.1245,0.10758,1151963,1933871,0.0,0.00282
P1,0,-,64000,hplt_heldout_100k,2.176,0.9967,1.0,0.08492,1151963,2506679,0.68867,0.0012
P2,10,G,64000,hplt_heldout_100k,1.8996,0.7168,0.7233,0.09421,1151963,2188257,0.32356,0.00221
P2,30,G,64000,hplt_heldout_100k,1.9816,0.9272,0.9317,0.08973,1151963,2282682,0.44803,0.00192
P2,100,G,64000,hplt_heldout_100k,2.0124,0.992,0.9924,0.08821,1151963,2318191,0.4891,0.00185
P2,10,R,64000,hplt_heldout_100k,1.8901,0.719,0.7034,0.09456,1151963,2177276,0.27958,0.00224
P2,30,R,64000,hplt_heldout_100k,1.9889,0.919,0.8969,0.08936,1151963,2291131,0.40999,0.00195
P2,100,R,64000,hplt_heldout_100k,2.0506,0.9709,0.9463,0.08649,1151963,2362267,0.47652,0.00185
P0,0,-,128000,hplt_heldout_100k,1.5723,0.0661,0.0819,0.11007,1151963,1811209,0.0,0.00167
P1,0,-,128000,hplt_heldout_100k,2.1402,0.9965,1.0,0.08387,1151963,2465410,0.68867,0.00052
P2,10,G,128000,hplt_heldout_100k,1.8164,0.6941,0.7017,0.09473,1151963,2092467,0.32356,0.00122
P2,30,G,128000,hplt_heldout_100k,1.9109,0.9202,0.9254,0.08964,1151963,2201319,0.44803,0.00102
P2,100,G,128000,hplt_heldout_100k,1.946,0.9901,0.9907,0.08792,1151963,2241670,0.4891,0.00094
P2,10,R,128000,hplt_heldout_100k,1.8032,0.6936,0.6739,0.09534,1151963,2077277,0.27958,0.00125
P2,30,R,128000,hplt_heldout_100k,1.9134,0.9096,0.8807,0.0895,1151963,2204161,0.40999,0.00107
P2,100,R,128000,hplt_heldout_100k,1.9799,0.9661,0.9343,0.08631,1151963,2280793,0.47652,0.00098
