cond,k,variant,vocab,split_rate,delta_fert,from_splits,from_fragmentation,frag_share,stem_single_token_rate,stem_tokens_mean,n_split_eojeol,n_words
P1,0,-,32000,0.68867,0.4165,1.0983,-0.6817,-1.6366,0.9255,1.0913,793320,1151963
P2,10,G,32000,0.32356,0.1924,0.3288,-0.1364,-0.7089,0.7333,1.4266,372727,1151963
P2,30,G,32000,0.44803,0.2618,0.4701,-0.2083,-0.7956,0.76,1.3826,516117,1151963
P2,100,G,32000,0.48918,0.2881,0.5241,-0.236,-0.8193,0.7724,1.363,563517,1151963
P2,10,R,32000,0.27951,0.1864,0.2867,-0.1003,-0.5382,0.8398,1.2212,321981,1151963
P2,30,R,32000,0.40959,0.2731,0.4347,-0.1616,-0.5918,0.8539,1.204,471833,1151963
P2,100,R,32000,0.4759,0.3287,0.5216,-0.1929,-0.5869,0.862,1.1972,548217,1151963
P1,0,-,64000,0.68867,0.4971,1.0983,-0.6012,-1.2094,0.9585,1.0495,793320,1151963
P2,10,G,64000,0.32356,0.221,0.3288,-0.1078,-0.4878,0.7878,1.3336,372727,1151963
P2,30,G,64000,0.44803,0.3032,0.4701,-0.1669,-0.5505,0.8121,1.2954,516117,1151963
P2,100,G,64000,0.48918,0.3339,0.5241,-0.1902,-0.5697,0.8222,1.2801,563517,1151963
P2,10,R,64000,0.27951,0.2115,0.2867,-0.0752,-0.3554,0.8922,1.1528,321981,1151963
P2,30,R,64000,0.40959,0.3101,0.4347,-0.1246,-0.4017,0.9044,1.1385,471833,1151963
P2,100,R,64000,0.4759,0.3712,0.5216,-0.1504,-0.4053,0.9091,1.1358,548217,1151963
P1,0,-,128000,0.68867,0.5675,1.0983,-0.5308,-0.9354,0.9781,1.0257,793320,1151963
P2,10,G,128000,0.32356,0.2441,0.3288,-0.0847,-0.3469,0.8279,1.2685,372727,1151963
P2,30,G,128000,0.44803,0.3382,0.4701,-0.132,-0.3903,0.8494,1.2363,516117,1151963
P2,100,G,128000,0.48918,0.3732,0.5241,-0.1509,-0.4043,0.8583,1.2238,563517,1151963
P2,10,R,128000,0.27951,0.2309,0.2867,-0.0558,-0.2415,0.9297,1.106,321981,1151963
P2,30,R,128000,0.40959,0.3404,0.4347,-0.0942,-0.2768,0.9391,1.0962,471833,1151963
P2,100,R,128000,0.4759,0.4063,0.5216,-0.1153,-0.2836,0.9418,1.0956,548217,1151963
