k,cond,fertility,m2a,m2b,split_rate,gap_m2a,gap_m2b
30,P2G-30,2.0955,0.9561,0.96,0.3932,0.0,0.0
30,P2R-30 (HPLT 테이블),2.0821,0.92,0.8721,0.3132,3.61,8.79
30,P2Rw-30 (위키 테이블),2.0605,0.9254,0.6725,0.2343,3.07,28.75
100,P2G-100,2.1131,0.9956,0.9961,0.4105,0.0,0.0
100,P2R-100 (HPLT 테이블),2.12,0.9532,0.9054,0.3611,4.24,9.07
100,P2Rw-100 (위키 테이블),2.0886,0.9779,0.7106,0.2636,1.77,28.55
