cond,k,variant,vocab,eval_set,fertility,m2a,m2b,m3,n_words,n_tokens,split_rate,m3_nonascii
P2,10,Rnb,128000,hplt_heldout_100k,1.884,0.6925,0.7003,0.09117,1151963,2170315,0.36712,0.0012
P2,30,Rnb,128000,hplt_heldout_100k,2.0215,0.9188,0.9242,0.08453,1151963,2328653,0.50585,0.00096
P2,100,Rnb,128000,hplt_heldout_100k,2.1114,0.9805,0.9827,0.08068,1151963,2432263,0.56751,0.00085
