cond,k,variant,vocab,eval_set,fertility,m2a,m2b,m3,n_words,n_tokens,split_rate,m3_nonascii
P2,30,Rp,128000,wiki_ood_10k,2.0915,0.9199,0.872,0.09824,82964,173516,0.324,0.00506
P2,100,Rp,128000,wiki_ood_10k,2.129,0.9535,0.9055,0.0961,82964,176627,0.37309,0.00487
